"","site","site.name","uniqueid","subid","session","scan","falff_50","reho_50","vmhc_50","falff_75","reho_75","vmhc_75","falff_90","reho_90","vmhc_90","falff_fwhm","reho_fwhm","vmhc_fwhm","falff_mean","reho_mean","vmhc_mean","global"
"3631",45,"UM","MONTREAL_org_0026184_session_2_rest_1","0026184",2,1,0.669657672056928,0.210187882184982,0.564425528049469,0.723373528104275,0.283578634262085,0.72226245701313,0.7735083270818,0.345578730106354,0.841508865356445,5.15259,11.9924,6.61605,0.674270972331595,0.215729087591171,0.501370131969452,"All Sites"
"3632",45,"UM","MONTREAL_org_0026184_session_2_rest_2","0026184",2,2,0.67276910180226,0.19784988462925,0.523447304964066,0.727317947894335,0.264465883374214,0.713893547654152,0.78186679398641,0.331432676315308,0.841075748205185,5.03893,12.7168,6.83839,0.676629999153761,0.206195309758186,0.476961672306061,"All Sites"
"3633",45,"UM","MONTREAL_org_0026185_session_1_rest_1","0026185",1,1,0.64892247505486,0.163031399250031,0.50343245267868,0.698297011200339,0.223862707614899,0.679038345813751,0.747671547345817,0.279283851385117,0.807968854904175,4.40099,11.8692,6.13379,0.653844694878903,0.171658769249916,0.463581800460815,"All Sites"
"3634",45,"UM","MONTREAL_org_0026185_session_1_rest_2","0026185",1,2,0.660774714779109,0.165082082152367,0.513798296451569,0.711884361226112,0.229359939694405,0.681973993778229,0.762994007673115,0.295023590326309,0.807850527763367,4.75889,12.3612,6.20968,0.666013155705159,0.176903754472733,0.469011217355728,"All Sites"
"3635",45,"UM","MONTREAL_org_0026185_session_2_rest_1","0026185",2,1,0.635322934947908,0.155525386333466,0.469830363988876,0.68886138452217,0.215404719114304,0.66131255030632,0.742399834096432,0.280027323961258,0.799928545951843,4.66715,12.5133,6.2561,0.643612324920944,0.166580080986023,0.435893595218659,"All Sites"
"3636",45,"UM","MONTREAL_org_0026185_session_2_rest_2","0026185",2,2,0.646015668986365,0.176000386476517,0.513934016227722,0.700151060242206,0.241902489215136,0.681534945964813,0.754286451498047,0.303522673249245,0.802131772041321,4.7531,12.5017,6.16871,0.651999347014803,0.184247329831123,0.465309351682663,"All Sites"
"3637",45,"UM","MONTREAL_org_0026186_session_1_rest_1","0026186",1,1,0.645532693713903,0.217430204153061,0.62909734249115,0.691140981856734,0.319413170218468,0.783527299761772,0.729732610285282,0.396335199475288,0.876315951347351,4.79603,14.0892,6.19695,0.644384492705846,0.232618227601051,0.53982025384903,"All Sites"
"3638",45,"UM","MONTREAL_org_0026186_session_1_rest_2","0026186",1,2,0.646444241283461,0.215383805334568,0.634921014308929,0.705847225617617,0.297863304615021,0.784371614456177,0.75826162355952,0.369897374510765,0.873962938785553,5.30633,12.8213,6.22957,0.647540187377454,0.223291650414467,0.539878726005554,"All Sites"
"3639",45,"UM","MONTREAL_org_0026186_session_2_rest_1","0026186",2,1,0.666766361799091,0.203922085464001,0.602562636137009,0.723212191369385,0.285710126161575,0.758519873023033,0.776130156591535,0.35635392665863,0.858093231916428,4.75889,13.2202,6.31958,0.67013907736842,0.212141916155815,0.517069578170776,"All Sites"
"3640",45,"UM","MONTREAL_org_0026186_session_2_rest_2","0026186",2,2,0.6563620576635,0.213572755455971,0.608927428722382,0.712823309935629,0.2930518835783,0.775991976261139,0.772813390474766,0.360313856601715,0.874066174030304,4.83891,12.9633,6.3847,0.662388621610468,0.219865918159485,0.527479648590088,"All Sites"
"3641",45,"UM","MONTREAL_org_0026187_session_1_rest_1","0026187",1,1,0.648442743346095,0.14978788793087,0.427068248391151,0.701304923510179,0.213118150830269,0.628687992691994,0.754167103674263,0.280835455656052,0.785245776176453,4.59014,12.7196,6.2198,0.655598783543103,0.164216727018356,0.402486383914948,"All Sites"
"3642",45,"UM","MONTREAL_org_0026187_session_1_rest_2","0026187",1,2,0.671105495654047,0.143520757555962,0.411672115325928,0.728835000656545,0.202635254710913,0.617524683475494,0.7901725997217,0.269991338253021,0.784704446792603,5.06033,12.6317,6.20358,0.676946615326344,0.157733097672462,0.394496202468872,"All Sites"
"3643",45,"UM","MONTREAL_org_0026187_session_2_rest_1","0026187",2,1,0.645543141290545,0.14613851159811,0.403529986739159,0.690661747939885,0.205113004893064,0.609991982579231,0.732309692539275,0.267845556139946,0.783722460269928,4.41086,12.5289,6.23661,0.648233151902883,0.158619061112404,0.392270714044571,"All Sites"
"3644",45,"UM","MONTREAL_org_0026187_session_2_rest_2","0026187",2,2,0.651797685772181,0.143505275249481,0.404781088232994,0.705517275258899,0.204255476593971,0.616648554801941,0.759236864745617,0.270871734619141,0.794855535030365,4.698,12.4351,6.30312,0.657312853889057,0.157248079776764,0.392196476459503,"All Sites"
"3645",45,"UM","MONTREAL_org_0026188_session_1_rest_1","0026188",1,1,0.64249278511852,0.216246455907822,0.654470443725586,0.692464446183294,0.295103490352631,0.790758967399597,0.746005511609837,0.365314108133316,0.880553185939789,4.46503,12.4908,6.33678,0.649125412484202,0.22272601723671,0.554113566875458,"All Sites"
"3646",45,"UM","MONTREAL_org_0026188_session_1_rest_2","0026188",1,2,0.6201226785779,0.173944167792797,0.530718326568604,0.660565461963415,0.235789645463228,0.696166336536407,0.704378477297723,0.298622569441795,0.820201516151428,4.20805,12.2939,6.41706,0.623338830048562,0.182953879237175,0.477588951587677,"All Sites"
"3647",45,"UM","MONTREAL_org_0026188_session_2_rest_1","0026188",2,1,0.622340726200491,0.180507682263851,0.570543527603149,0.670477577950805,0.239235781133175,0.729599058628082,0.715176083147526,0.298765468597412,0.841430425643921,4.64924,11.9795,6.45335,0.624682506912498,0.187144130468369,0.503527343273163,"All Sites"
"3648",45,"UM","MONTREAL_org_0026188_session_2_rest_2","0026188",2,2,0.6098375946749,0.166515856981277,0.537855088710785,0.655139815993607,0.23022934794426,0.704987108707428,0.700442037312314,0.293896391987801,0.824833238124847,4.43099,12.0494,6.25567,0.611637141392216,0.178028404712677,0.482748448848724,"All Sites"
"3649",45,"UM","MONTREAL_org_0026189_session_1_rest_1","0026189",1,1,0.650880061089993,0.215495593845844,0.582737296819687,0.70337038859725,0.294438682496548,0.746142208576202,0.752361360937357,0.361470076441765,0.850321412086487,4.98841,13.8394,6.3933,0.654560754000084,0.22257673740387,0.516380727291107,"All Sites"
"3650",45,"UM","MONTREAL_org_0026189_session_1_rest_2","0026189",1,2,0.639049218036234,0.201397679746151,0.571452498435974,0.690309850499034,0.27580352127552,0.741327166557312,0.744987858459353,0.340970411896706,0.847597181797028,4.88466,13.1792,6.22945,0.63934087810285,0.210232764482498,0.50744491815567,"All Sites"
