"","site","site.name","uniqueid","subid","session","scan","MeanFD","PercentFD_greater_than_0.20","global"
"152",24,"NYU 2","NYU_org_0025000_session_1_rest_2","0025000",1,2,0.0511,0.5525,"All Sites"
"153",24,"NYU 2","NYU_org_0025000_session_2_rest_1","0025000",2,1,0.0427,1.105,"All Sites"
"154",24,"NYU 2","NYU_org_0025000_session_2_rest_2","0025000",2,2,0.0552,2.2099,"All Sites"
"155",24,"NYU 2","NYU_org_0025001_session_1_rest_1","0025001",1,1,0.1447,19.8895,"All Sites"
"156",24,"NYU 2","NYU_org_0025001_session_1_rest_2","0025001",1,2,0.1573,14.9171,"All Sites"
"157",24,"NYU 2","NYU_org_0025001_session_2_rest_1","0025001",2,1,0.0634,3.3149,"All Sites"
"158",24,"NYU 2","NYU_org_0025002_session_1_rest_1","0025002",1,1,0.1197,12.1547,"All Sites"
"159",24,"NYU 2","NYU_org_0025002_session_1_rest_2","0025002",1,2,0.0897,4.4199,"All Sites"
"160",24,"NYU 2","NYU_org_0025002_session_2_rest_1","0025002",2,1,0.0663,2.2099,"All Sites"
"161",24,"NYU 2","NYU_org_0025003_session_1_rest_1","0025003",1,1,0.4781,54.1436,"All Sites"
"162",24,"NYU 2","NYU_org_0025003_session_1_rest_2","0025003",1,2,0.1668,14.3646,"All Sites"
"163",24,"NYU 2","NYU_org_0025003_session_2_rest_1","0025003",2,1,0.1673,14.9171,"All Sites"
"164",24,"NYU 2","NYU_org_0025003_session_2_rest_2","0025003",2,2,0.1627,21.547,"All Sites"
"165",24,"NYU 2","NYU_org_0025004_session_1_rest_1","0025004",1,1,0.0808,0.5525,"All Sites"
"166",24,"NYU 2","NYU_org_0025004_session_1_rest_2","0025004",1,2,0.0807,1.105,"All Sites"
"167",24,"NYU 2","NYU_org_0025004_session_2_rest_1","0025004",2,1,0.0805,0,"All Sites"
"168",24,"NYU 2","NYU_org_0025004_session_2_rest_2","0025004",2,2,0.0756,0,"All Sites"
"169",24,"NYU 2","NYU_org_0025005_session_1_rest_1","0025005",1,1,0.1831,11.6022,"All Sites"
